Datum : 	14.5.2014
Durchmesser :	47,7
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41773	17,246094	-1	-0,99718201	0,26249886	0,03704869	0,4853192	-0,07811559
41773	17,746094	-1	-0,97899508	0,26259497	0,037112646	0,48530591	-0,078022495
41773	18,246094	-1	-1,0198187	0,26183724	0,037011951	0,48524529	-0,078076638
41773	18,746094	-1	-0,98076093	0,26241913	0,037104949	0,48535261	-0,078139149
41773	19,246094	-1	-1,0191314	0,26220083	0,037089333	0,4852632	-0,077999577
41773	19,746094	-1	-0,98190832	0,26190802	0,03709776	0,48534232	-0,077986985
41773	20,246094	-1	-0,97517854	0,26242286	0,037099145	0,48538479	-0,078106269
41773	20,746094	-1	-0,966914	0,26301593	0,037175968	0,48536259	-0,077934399
41773	21,246094	-1	-0,99867022	0,26167631	0,03711652	0,48536357	-0,078032538
41773	21,746094	-1	-1,0104682	0,26245937	0,037120961	0,48531273	-0,078095511
41773	22,246094	-1	-1,0341089	0,26206821	0,037004359	0,48527035	-0,077969469
41773	22,746094	-1	-1,0137446	0,26206598	0,037048966	0,48530445	-0,078056425
41773	23,246094	-1	-1,0483153	0,26182458	0,037006043	0,48529929	-0,078029379
41773	23,746094	-1	-1,0041333	0,26194975	0,037074946	0,48535728	-0,078004904
41773	24,246094	-1	-1,0101031	0,26206523	0,037112936	0,48529157	-0,078030303
41773	24,746094	-1	-1,004586	0,26266426	0,037097774	0,48529166	-0,077998877
41773	25,246094	-1	-0,9939298	0,26262179	0,037123509	0,48541462	-0,077957556
41773	25,746094	-1	-0,9963941	0,26261359	0,037100963	0,48540273	-0,077986956
41773	26,246094	-1	-0,98240745	0,26268959	0,037183113	0,4854382	-0,0780394
41773	26,746094	-1	-1,0199044	0,2616629	0,037077263	0,48531693	-0,077993363
41773	27,246094	-1,4570313	-1,4722161	-0,0047266483	-0,00090887398	-0,00079369545	-7,141009e-05
41773	27,746094	-1,9570313	-1,9613076	-0,0096194446	-0,0018486455	-0,0013563335	-0,00046889111
41773	28,246094	-2,4570313	-2,4272707	-0,013613701	-0,0027480647	-0,0019195378	-0,00072345138
41773	28,746094	-2,9570313	-2,545368	-0,01520291	-0,0029617101	-0,0020522773	-0,00073876232
41773	29,246094	-3,4570313	-3,5550668	-0,023458153	-0,0049205422	-0,0032632947	-0,0016649254
41773	29,746094	-3,9570313	-4,1410866	-0,028191507	-0,0060511082	-0,0040501952	-0,0022230111
41773	30,246094	-4,4570313	-4,5639071	-0,031539053	-0,0067902729	-0,0045233667	-0,0025424622
41773	30,746094	-4,9570313	-5,0167294	-0,035644323	-0,007588014	-0,0051998496	-0,0030684806
41773	31,246094	-5,4570313	-5,4401588	-0,038773566	-0,008406952	-0,0056941807	-0,0034726001
41773	31,746094	-5,9570313	-5,9536805	-0,042332709	-0,0094074011	-0,0063565969	-0,0039534084
41773	32,246094	-6,4570313	-6,4642186	-0,046038628	-0,010335334	-0,0070540309	-0,0045189299
41773	32,746094	-6,9570313	-6,996223	-0,050778687	-0,01131212	-0,0076819956	-0,0050819851
41773	33,246094	-7,4570313	-7,5458837	-0,054183602	-0,012357123	-0,0083447695	-0,0055385269
41773	33,746094	-7,9570313	-8,0920229	-0,057633966	-0,013315812	-0,0090452135	-0,0062724538
41773	34,246094	-8,4570313	-8,541646	-0,060860068	-0,014082663	-0,0096830428	-0,0068138056
41773	34,746094	-8,9570313	-9,0253525	-0,064476579	-0,014934391	-0,01025936	-0,0073169954
41773	35,246094	-9,4570313	-9,515419	-0,06756708	-0,015821829	-0,011009336	-0,0079604723
41773	35,746094	-9,9570313	-10,014716	-0,070684403	-0,016692758	-0,011684924	-0,0085240491
41773	36,246094	-10,457031	-10,529459	-0,074312836	-0,017506406	-0,012378603	-0,0092506297
41773	36,746094	-10,957031	-11,044662	-0,0771828	-0,018523157	-0,013087124	-0,0099215321
41773	37,246094	-11,457031	-11,51427	-0,079598278	-0,019266777	-0,013694167	-0,010563094
41773	37,746094	-11,957031	-11,96994	-0,082331151	-0,01995945	-0,01433602	-0,01121093
41773	38,246094	-12,457031	-12,466843	-0,085838139	-0,020768031	-0,015102923	-0,011861619
41773	38,746094	-12,957031	-12,975004	-0,088940561	-0,021665923	-0,015848786	-0,012592588
41773	39,246094	-13,457031	-13,506839	-0,091598183	-0,022560365	-0,016469687	-0,013277557
41773	39,746094	-13,957031	-13,980666	-0,094623119	-0,023337826	-0,017275602	-0,013993915
41773	40,246094	-14,457031	-14,463316	-0,096753985	-0,024118289	-0,017882079	-0,014626291
41773	40,746094	-14,957031	-14,961963	-0,099880248	-0,024925523	-0,018585294	-0,01527996
41773	41,246094	-15,457031	-15,484949	-0,10338053	-0,02570305	-0,01936695	-0,016001638
41773	41,746094	-15,957031	-15,997437	-0,10579675	-0,02665513	-0,020064056	-0,016695905
41773	42,246094	-16,457031	-16,471634	-0,10821894	-0,027352855	-0,020793945	-0,017372262
41773	42,746094	-16,957031	-16,919767	-0,11100471	-0,028127998	-0,021449447	-0,017986443
41773	43,246094	-17,457031	-17,507713	-0,11423826	-0,029036917	-0,022287577	-0,018935267
41773	43,746094	-17,957031	-17,998472	-0,11627227	-0,029775158	-0,023006827	-0,019661967
41773	44,246094	-18,457031	-18,402496	-0,11952966	-0,030551694	-0,023600101	-0,02021369
41773	44,746094	-18,957031	-18,908348	-0,12160763	-0,031271428	-0,024312496	-0,020959046
