Datum : 	18.3.2014
Durchmesser :	99
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41716	16,105469	-1	-0,99734032	1,341077	0,011605343	-0,013350897	-0,16357233
41716	16,605469	-1	-1,0141935	1,341381	0,011552783	-0,013312366	-0,16355209
41716	17,105469	-1	-0,98526478	1,3410382	0,011618348	-0,013251375	-0,16363211
41716	17,605469	-1	-1,0031406	1,34122	0,011550019	-0,013287313	-0,16358806
41716	18,105469	-1	-1,0203104	1,3412334	0,01153993	-0,013275199	-0,16358034
41716	18,605469	-1	-0,98288804	1,3415627	0,011626819	-0,013315037	-0,16367963
41716	19,105469	-1	-1,0110606	1,3413429	0,011560006	-0,013305906	-0,16360751
41716	19,605469	-1	-0,99942088	1,3413929	0,011601342	-0,013263267	-0,16354898
41716	20,105469	-1	-1,004247	1,340732	0,011538656	-0,013308823	-0,16365938
41716	20,605469	-1	-1,0045991	1,341264	0,011579802	-0,013282739	-0,16362809
41716	21,105469	-1	-1,0056105	1,3412975	0,011539685	-0,01327524	-0,16357246
41716	21,605469	-1	-0,98456442	1,3412192	0,011567259	-0,013222337	-0,16366555
41716	22,105469	-1	-1,0379907	1,341898	0,011528665	-0,013269253	-0,16360144
41716	22,605469	-1	-0,98251551	1,3409935	0,011511924	-0,013234012	-0,16363414
41716	23,105469	-1	-0,99022686	1,3414428	0,011634005	-0,013208125	-0,16371353
41716	23,605469	-1	-1,0163393	1,3416216	0,011639001	-0,013293393	-0,16363567
41716	24,105469	-1	-0,99557078	1,3410628	0,011533575	-0,013241298	-0,16366759
41716	24,605469	-1	-1,0314565	1,3416432	0,011539558	-0,013259955	-0,16364978
41716	25,105469	-1	-1,0062847	1,3413534	0,011630034	-0,013194691	-0,16363086
41716	25,605469	-1	-0,99832749	1,341378	0,011580089	-0,013239197	-0,16372323
41716	26,105469	-2,7481446	-2,6551633	-0,0099174678	-0,00037389621	-0,00087510049	-0,00039212406
41716	26,605469	-4,6981444	-3,9812624	-0,016885251	-0,00073824823	-0,0014289021	-0,00056451559
41716	27,105469	-6,6481447	-6,6372461	-0,030076504	-0,0014362596	-0,0025368929	-0,0013493448
41716	27,605469	-8,5981445	-8,4761333	-0,038967282	-0,0019331016	-0,0033953488	-0,0018710941
41716	28,105469	-10,548144	-10,674282	-0,049371272	-0,0026311055	-0,0042709671	-0,0026459247
41716	28,605469	-12,498145	-12,726419	-0,057595968	-0,0031949542	-0,0051323995	-0,0033495426
41716	29,105469	-14,448145	-14,634387	-0,065127015	-0,0037855841	-0,0058334097	-0,0040367842
