Datum : 	14.08.2013
Durchmesser in mm	150
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41774	21,785156	-1	-1,0746886	4,2809677	-0,067147799	-0,057358213	0,02359364
41774	22,285156	-1	-1,0015107	4,2819991	-0,066929415	-0,057192963	0,023732731
41774	22,785156	-1	-1,0340791	4,2818084	-0,06702207	-0,057233687	0,023685256
41774	23,285156	-1	-1,0451339	4,2816153	-0,067140594	-0,057242442	0,023727594
41774	23,785156	-1	-1,0604765	4,2811198	-0,067133337	-0,057244781	0,023622433
41774	24,285156	-1	-1,0347701	4,2817311	-0,067110702	-0,057303973	0,023625044
41774	24,785156	-1	-1,0264292	4,2813563	-0,067085519	-0,057268031	0,023692669
41774	25,285156	-1	-1,0362175	4,2815795	-0,067103438	-0,057210643	0,023751553
41774	25,785156	-1	-1,0830834	4,2808156	-0,067230359	-0,057288934	0,023667065
41774	26,285156	-1	-1,0380913	4,2813597	-0,067131564	-0,057274587	0,02376396
41774	26,785156	-1	-1,0130368	4,2816033	-0,067066491	-0,057200387	0,023792597
41774	27,285156	-1	-1,042176	4,2811747	-0,06706553	-0,057253346	0,023770696
41774	27,785156	-1	-1,0001938	4,2824426	-0,067037858	-0,057237025	0,023673579
41774	28,285156	-1	-1,0609161	4,2810435	-0,067192338	-0,057394087	0,02378523
41774	28,785156	-1	-1,077693	4,2812295	-0,06714987	-0,057297338	0,023711219
41774	29,285156	-1	-1,1303518	4,2807479	-0,067285046	-0,057284962	0,023791734
41774	29,785156	-1	-1,0548439	4,2815328	-0,067109525	-0,057221618	0,023650365
41774	30,285156	-1	-1,0345261	4,2814083	-0,067143559	-0,057228334	0,023745392
41774	30,785156	-1	-1,0248088	4,2812395	-0,067092679	-0,057181712	0,02361935
41774	31,285156	-1	-0,98216534	4,2821012	-0,06698516	-0,057191215	0,0238172
41774	31,785156	-1,866504	-1,8838178	-0,010233967	-0,0019863741	-0,00058102235	-0,00013016253
41774	32,285156	-2,816504	-2,6341136	-0,017485045	-0,0036698701	-0,0012210831	-0,00021283883
41774	32,785156	-3,7665038	-3,3202226	-0,024055794	-0,0050389925	-0,0017932095	-0,00044119282
41774	33,285156	-4,7165041	-4,9008746	-0,036915358	-0,0079810573	-0,0034475531	-0,0011369047
41774	33,785156	-5,6665039	-5,8121386	-0,043123472	-0,0094903326	-0,0042600483	-0,0016304211
41774	34,285156	-6,6165037	-6,6884661	-0,049533077	-0,010837317	-0,0052022021	-0,0022104268
41774	34,785156	-7,566504	-7,7048597	-0,055608548	-0,0122477	-0,0061442815	-0,0028086223
41774	35,285156	-8,5165043	-8,8694296	-0,062974744	-0,013845683	-0,0074019134	-0,003642818
41774	35,785156	-9,4665041	-9,6573143	-0,067420349	-0,014898067	-0,0081253573	-0,0041948869
41774	36,285156	-10,416504	-10,637193	-0,072290547	-0,016061123	-0,0090668388	-0,0049493457
41774	36,785156	-11,366504	-11,641279	-0,077337936	-0,0172255	-0,0099548846	-0,0055469219
41774	37,285156	-12,316504	-12,505309	-0,082141675	-0,018288385	-0,010719186	-0,0062518409
41774	37,785156	-13,266503	-13,630745	-0,086654231	-0,01944902	-0,011654252	-0,0069962987
41774	38,285156	-14,216504	-14,434813	-0,090493515	-0,020399831	-0,012501407	-0,0075878678
41774	38,785156	-15,166504	-15,305611	-0,094919421	-0,021236867	-0,013177129	-0,008253701
41774	39,285156	-16,116505	-16,269449	-0,099144436	-0,02220829	-0,014069214	-0,0090012169
41774	39,785156	-17,066504	-17,176989	-0,10266034	-0,023117751	-0,014873935	-0,009555677
41774	40,285156	-18,016504	-18,079418	-0,10639194	-0,024105217	-0,015611196	-0,010222471
41774	40,785156	-18,966503	-19,083639	-0,11038354	-0,025040012	-0,016427621	-0,011005015
41774	41,285156	-19,916504	-20,095581	-0,11429828	-0,025967663	-0,017237412	-0,011749025
41774	41,785156	-20,866503	-21,148291	-0,11852358	-0,026884023	-0,018114403	-0,012363631
41774	42,285156	-21,816504	-21,965725	-0,12226978	-0,027679406	-0,01880162	-0,013111198
41774	42,785156	-22,766504	-22,873911	-0,12546712	-0,028493419	-0,019514663	-0,013749623
41774	43,285156	-23,716503	-23,905865	-0,12950355	-0,029422726	-0,020303641	-0,014532047
41774	43,785156	-24,666504	-24,726429	-0,13226412	-0,030106369	-0,020993926	-0,015105239
41774	44,285156	-25,616503	-25,868958	-0,13654211	-0,031133536	-0,021862786	-0,015807195
41774	44,785156	-26,566504	-26,613144	-0,13927203	-0,031806972	-0,022453945	-0,016289799
41774	45,285156	-27,516504	-27,671238	-0,14296179	-0,032691393	-0,02329383	-0,017159248
41774	45,785156	-28,466503	-28,55048	-0,14590707	-0,033436731	-0,023946822	-0,01777979
41774	46,285156	-29,416504	-29,734478	-0,14972338	-0,034484137	-0,024886921	-0,018641643
41774	46,785156	-30,366503	-30,462875	-0,15254651	-0,035048507	-0,02534413	-0,019116154
41774	47,285156	-31,316504	-31,591291	-0,15644906	-0,035994101	-0,026237104	-0,019941302
41774	47,785156	-32,266502	-32,339554	-0,15908381	-0,036685314	-0,026872922	-0,020465354
41774	48,285156	-33,216503	-33,40313	-0,16298096	-0,037467733	-0,027606534	-0,021253083
41774	48,785156	-34,166504	-34,232986	-0,1656258	-0,038133532	-0,02829561	-0,021710118
41774	49,285156	-35,116505	-35,291641	-0,16888356	-0,039014038	-0,028982492	-0,022442069
41774	49,785156	-36,066502	-36,295383	-0,17221318	-0,039765369	-0,029700631	-0,023171073
41774	50,285156	-37,016502	-37,065151	-0,17505416	-0,040447555	-0,030341417	-0,023737384
41774	50,785156	-37,966503	-38,103958	-0,17837273	-0,041299626	-0,031126847	-0,024484556
41774	51,285156	-38,916504	-38,991127	-0,18120044	-0,041972499	-0,031755429	-0,025027866
41774	51,785156	-39,866505	-40,088543	-0,18461847	-0,042900085	-0,03251775	-0,025755966
41774	52,285156	-40,816502	-40,980305	-0,18743865	-0,043591216	-0,033159859	-0,026437279
41774	52,785156	-41,766502	-41,815914	-0,19036864	-0,04427078	-0,033808108	-0,027084813
41774	53,285156	-42,716503	-42,885185	-0,19326583	-0,045121707	-0,034599874	-0,027853344
41774	53,785156	-43,666504	-43,931854	-0,19732651	-0,045974318	-0,035267286	-0,028496012
