Datum : 	05.12.2013
Durchmesser :	69,2
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg Sollwert	Ch 1 Weg	Ch 1 W2TK Mittel	W2TK 7733	W2TK 7734	W2TK 7737	Ch 1 MTS Aufnehmer Mittel	1944 A	1944 B	2157
d	s	kN	kN	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
41613	31,34082	-1,0760742	-1,0233727	0	-8,3819032e-06	5,5645105e-06	7,1567888e-06	1,168251e-05	-2,1457672e-06	-0,023967857	6,8115303e-05	4,9201772e-05	-1,462549e-05
41613	31,44043	-1,265332	-1,0971446	0	-0,00047478825	-2,3817202e-05	-4,5165954e-05	-2,9802322e-06	-2,3305416e-05	-0,024051277	3,002747e-05	-4,0667132e-05	-8,9142472e-05
41613	31,540039	-1,4545898	-1,1682547	0	-0,001273118	-0,00027326724	-0,0001803631	-0,00014328957	-0,00049614906	-0,024061553	3,7553022e-05	-0,00016615167	-0,00012950227
41613	31,639648	-1,6438477	-1,3067387	0	-0,0024203211	-0,00089217594	-0,00047234807	-0,0009598732	-0,0012443066	-0,024166727	-1,8162187e-05	-0,00038268603	-0,00019163825
41613	31,739258	-1,8331054	-1,4687181	0	-0,0040965155	-0,0018563393	-0,00097975833	-0,0023388863	-0,0022503734	-0,02418703	7,9998979e-05	-0,00058288313	-0,0002516564
41613	31,838867	-2,0223632	-1,7201583	0	-0,0053755939	-0,0031379033	-0,0017765075	-0,0041310787	-0,003506124	-0,024297683	-4,7840178e-05	-0,00084220245	-0,00043908879
41613	31,938477	-2,211621	-1,9186418	0	-0,0071149319	-0,004274006	-0,0025177463	-0,005787611	-0,0045166612	-0,024376178	-2,3445347e-05	-0,0010730028	-0,00058286637
41613	32,038086	-2,4008789	-2,064513	0	-0,0090695918	-0,0050935959	-0,0030477697	-0,0070972443	-0,0051357746	-0,024443414	-6,0142949e-05	-0,0012189969	-0,00065059774
41613	32,137695	-2,5901368	-2,3115315	0	-0,011210889	-0,0062636524	-0,0038419929	-0,0089122057	-0,0060367584	-0,024515787	-0,00011408213	-0,0014901254	-0,0008791592
41613	32,237305	-2,7793946	-2,5415645	0	-0,012757629	-0,0073586064	-0,004549372	-0,010708213	-0,0068182349	-0,024724025	-0,00020710635	-0,0017931499	-0,00097191893
41613	32,336914	-2,9686522	-2,8242841	0	-0,014335476	-0,0083645014	-0,0052198851	-0,012351751	-0,0075218678	-0,024853738	-0,00028040027	-0,0021350104	-0,0011714883
