Datum : 	31.05.2011
Durchmesser in mm	149,4
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 A	1944 B	1281068
d	s	kN	kN	mm	mm	mm	mm
41878	137,96289	-1,4980469	-1,3927873	-0,0020772219	-0,00047331303	-0,00047942251	-0,00022013397
41878	138,46289	-1,9980469	-1,3528857	-0,0025242567	-0,00052987039	-0,00048451498	-0,00013643608
41878	138,96289	-2,4980469	-2,3885818	-0,0095695257	-0,001811713	-0,0018163435	-0,00085511256
41878	139,46289	-2,9980469	-3,0667279	-0,01603663	-0,0026379302	-0,0026157461	-0,0014711535
41878	139,96289	-3,4980469	-3,6616902	-0,018700957	-0,0033710375	-0,0033341125	-0,0018328574
41878	140,46289	-3,9980469	-4,1712484	-0,021880865	-0,0039974898	-0,0039759502	-0,0023597318
41878	140,96289	-4,4980469	-4,6743302	-0,026357174	-0,0047102123	-0,0044759773	-0,0027491448
41878	141,46289	-4,9980469	-5,1381531	-0,029915571	-0,0051924586	-0,0051065572	-0,0031629121
41878	141,96289	-5,4980469	-5,6493673	-0,031664968	-0,0059284344	-0,0056265108	-0,0035243074
41878	142,46289	-5,9980469	-6,0749183	-0,034609437	-0,006360583	-0,0062659904	-0,0039690938
41878	142,96289	-6,4980469	-6,5785089	-0,039553642	-0,0070559978	-0,0068009757	-0,0043351208
41878	143,46289	-6,9980469	-7,0759263	-0,041905046	-0,0076601729	-0,0074569248	-0,0046868525
41878	143,96289	-7,4980469	-7,5339518	-0,044801831	-0,0082324073	-0,0080182329	-0,0051718373
41878	144,46289	-7,9980469	-8,0309973	-0,048154593	-0,0088633224	-0,0086433776	-0,0056292573
41878	144,96289	-8,4980469	-8,524332	-0,050932169	-0,0095562562	-0,0092286468	-0,0059894663
41878	145,46289	-8,9980469	-9,02178	-0,053152442	-0,010164097	-0,0097993389	-0,0064283754
41878	145,96289	-9,4980469	-9,5801897	-0,055712461	-0,010873154	-0,010426551	-0,0069989515
41878	146,46289	-9,9980469	-10,063273	-0,05954206	-0,011421017	-0,01097545	-0,0074131805
41878	146,96289	-10,498047	-10,5851	-0,061753392	-0,01205083	-0,011601727	-0,0079277148
41878	147,46289	-10,998047	-11,060282	-0,063928962	-0,012644164	-0,012145758	-0,008464939
41878	147,96289	-11,498047	-11,53158	-0,066283345	-0,013172895	-0,012786709	-0,0088671884
41878	148,46289	-11,998047	-12,030333	-0,069409609	-0,013819009	-0,013323072	-0,009369134
41878	148,96289	-12,498047	-12,478541	-0,07134378	-0,014300391	-0,013868969	-0,0097322166
41878	149,46289	-12,998047	-12,982428	-0,073623657	-0,014893182	-0,014479388	-0,01028083
41878	149,96289	-13,498047	-13,460664	-0,075635314	-0,015367828	-0,014994111	-0,010937052
41878	150,46289	-13,998047	-13,969099	-0,077804923	-0,015933022	-0,015592415	-0,011337786
41878	150,96289	-14,498047	-14,515618	-0,081390142	-0,016595133	-0,01622016	-0,011961901
41878	151,46289	-14,998047	-15,017567	-0,082701445	-0,017213106	-0,016776226	-0,012452541
41878	151,96289	-15,498047	-15,520106	-0,085780025	-0,017845314	-0,017400749	-0,013032227
41878	152,46289	-15,998047	-16,061785	-0,088465214	-0,01842976	-0,018093202	-0,013504919
41878	152,96289	-16,498047	-16,497606	-0,089821219	-0,01899787	-0,01857508	-0,014081204
41878	153,46289	-16,998047	-16,978487	-0,092363358	-0,019515913	-0,019225098	-0,014580356
41878	153,96289	-17,498047	-17,484274	-0,094637275	-0,020029932	-0,019787926	-0,015092201
41878	154,46289	-17,998047	-17,977671	-0,097715855	-0,020607017	-0,020329602	-0,015621094
41878	154,96289	-18,498047	-18,50037	-0,099611282	-0,021238443	-0,020905267	-0,016150968
41878	155,46289	-18,998047	-19,031143	-0,10279715	-0,021848127	-0,021528527	-0,016807893
41878	155,96289	-19,498047	-19,539145	-0,1037389	-0,022430599	-0,022200264	-0,017254647
41878	156,46289	-19,998047	-20,046135	-0,10589957	-0,022972863	-0,02276681	-0,017954016
41878	156,96289	-20,498047	-20,56085	-0,10931492	-0,023608748	-0,023327045	-0,018512938
41878	157,46289	-20,998047	-21,052235	-0,11121035	-0,02415381	-0,023892604	-0,018928036
41878	157,96289	-21,498047	-21,503817	-0,1139611	-0,024662066	-0,024478527	-0,019557029
41878	158,46289	-21,998047	-22,035028	-0,11486709	-0,025297258	-0,025057768	-0,020088693
41878	158,96289	-22,498047	-22,465879	-0,11775494	-0,025814045	-0,025614806	-0,020582782
41878	159,46289	-22,998047	-22,982367	-0,1188606	-0,026344623	-0,026149254	-0,021104276
41878	159,96289	-23,498047	-23,491495	-0,12255609	-0,027053889	-0,026774274	-0,021730993
41878	160,46289	-23,998047	-23,992146	-0,12408793	-0,027478334	-0,027324108	-0,022231668
41878	160,96289	-24,498047	-24,536285	-0,1262933	-0,028152853	-0,027968688	-0,022877634
41878	161,46289	-24,998047	-25,07056	-0,1288265	-0,028787538	-0,028589519	-0,023372347
41878	161,96289	-25,498047	-25,553724	-0,13018548	-0,029330306	-0,029185712	-0,023968669
41878	162,46289	-25,998047	-26,08028	-0,13298392	-0,029979222	-0,029803906	-0,024575133
41878	162,96289	-26,498047	-26,530403	-0,13492703	-0,030518726	-0,030372016	-0,025123071
41878	163,46289	-26,998047	-27,014498	-0,13769567	-0,031033982	-0,030968279	-0,02572049
41878	163,96289	-27,498047	-27,498724	-0,13849139	-0,031596929	-0,031496949	-0,026229467
41878	164,46289	-27,998047	-27,955006	-0,14117062	-0,032116875	-0,031960174	-0,026744468
41878	164,96289	-28,498047	-28,485703	-0,14290214	-0,032760747	-0,032649197	-0,0274246
41878	165,46289	-28,998047	-29,009853	-0,14518201	-0,033323545	-0,033251941	-0,027922729
41878	165,96289	-29,498047	-29,506128	-0,14718771	-0,033860371	-0,033846498	-0,028529052
41878	166,46289	-29,998047	-30,044586	-0,14915168	-0,034543302	-0,034471393	-0,029139001
41878	166,96289	-30,498047	-30,58849	-0,15154779	-0,035202738	-0,035039786	-0,029767206
41878	167,46289	-30,998047	-31,01634	-0,1537472	-0,035622951	-0,035601415	-0,030236002
41878	167,96289	-31,498047	-31,545992	-0,1557529	-0,036334515	-0,036221344	-0,030828012
41878	168,46289	-31,998047	-31,985771	-0,15752614	-0,036774866	-0,036701724	-0,031479333
41878	168,96289	-32,498047	-32,470028	-0,15931427	-0,037361577	-0,037318684	-0,031867068
41878	169,46289	-32,998047	-32,953171	-0,16185343	-0,037909348	-0,037895113	-0,032511599
41878	169,96289	-33,498047	-33,460552	-0,16375184	-0,038448565	-0,038545832	-0,033023845
41878	170,46289	-33,998047	-33,995575	-0,16498864	-0,03912605	-0,039084114	-0,03368995
41878	170,96289	-34,498047	-34,51078	-0,16747713	-0,039688226	-0,039735548	-0,034312427
41878	171,46289	-34,998047	-35,034424	-0,17027259	-0,040297903	-0,040333293	-0,034883134
41878	171,96289	-35,498047	-35,585686	-0,17229915	-0,04098979	-0,040938042	-0,03561781
41878	172,46289	-35,998047	-36,068054	-0,17499328	-0,041502777	-0,041516155	-0,036021978
41878	172,96289	-36,498047	-36,532848	-0,17588139	-0,04205494	-0,042130955	-0,036740329
41878	173,46289	-36,998047	-37,045948	-0,17920434	-0,042659361	-0,042699941	-0,037152864
41878	173,96289	-37,498047	-37,481705	-0,17994642	-0,043173369	-0,043231204	-0,037801608
41878	174,46289	-37,998047	-37,95948	-0,18130243	-0,043668959	-0,04372859	-0,038397994
