Datum : 	9.7.2014
Durchmesser :	98,5
Datum	Laufzeit	Ch 1 Kraft Sollwert	Ch 1 Kraft	Ch 1 Weg	1944 B	1281068	2157
d	s	kN	kN	mm	mm	mm	mm
41829	18,897461	-1,280123	-1,3380219	-10,363232	-6,4879656e-05	-0,00039065024	0,0011129044
41829	19,397461	-1,572823	-1,6231425	-10,364817	-0,00026362203	-0,00062625849	0,0010882728
41829	19,897461	-1,8655231	-1,9720663	-10,366827	-0,00038163736	-0,00071086083	0,001011651
41829	20,397461	-2,1582232	-2,2291615	-10,369303	-0,00048131123	-0,00082057039	0,00087210163
41829	20,897461	-2,450923	-2,5140662	-10,370335	-0,00064027123	-0,00095631304	0,00084095076
41829	21,397461	-2,743623	-2,6008618	-10,370992	-0,00065596029	-0,00096874859	0,00083484128
41829	21,897461	-3,0363231	-2,8197076	-10,372071	-0,00068964064	-0,0010650447	0,00065543875
41829	22,397461	-3,3290231	-3,3395793	-10,37537	-0,00089510716	-0,0013197552	0,00051902607
41829	22,897461	-3,6217232	-3,8632603	-10,378274	-0,0011657588	-0,0015448912	0,00037530065
41829	23,397461	-3,914423	-3,9802883	-10,378551	-0,0012044031	-0,0015273932	0,00038138032
41829	23,897461	-3,927	-4,1222124	-10,379534	-0,0012655649	-0,0015758843	0,00024946406
41829	24,397461	-3,927	-4,0315633	-10,379446	-0,0012511835	-0,0015498103	0,00032218546
41829	24,897461	-3,927	-3,9837751	-10,380389	-0,0012061745	-0,0016196904	0,00034392998
41829	25,397461	-3,927	-4,0338898	-10,379958	-0,0011698063	-0,0015939994	0,0003531985
41829	25,897461	-3,927	-4,0135012	-10,379809	-0,0011385977	-0,0015819171	0,00032332167
41829	26,397461	-3,927	-4,0458646	-10,379711	-0,0012207925	-0,0015695317	0,00033798441
41829	26,897461	-3,927	-3,9384346	-10,379722	-0,0011390317	-0,0015200758	0,00032040849
41829	27,397461	-3,927	-3,993176	-10,379579	-0,0012026224	-0,0015781134	0,00039434433
41829	27,897461	-3,927	-4,0458236	-10,380527	-0,0011983681	-0,00159568	0,00032555312
41829	28,397461	-3,927	-4,0581841	-10,379924	-0,0011606589	-0,0016209472	0,00026833266
41829	28,897461	-5,7208476	-5,5985341	-0,0073924661	-0,00079664029	-0,00049238798	-0,00066485628
41829	29,397461	-7,6708479	-7,5237079	-0,01731962	-0,0014539249	-0,0012644561	-0,0012911148
41829	29,897461	-9,6208477	-9,5369406	-0,026363134	-0,0022388175	-0,0019601875	-0,0021441691
41829	30,397461	-11,570848	-11,715419	-0,035175681	-0,0030345526	-0,0028332572	-0,0029985905
41829	30,897461	-13,520848	-13,800087	-0,044167042	-0,0038733389	-0,0036972712	-0,0036968105
41829	31,397461	-15,470848	-15,559319	-0,051401556	-0,0045709126	-0,0045018736	-0,0042776465
41829	31,897461	-17,420849	-17,532171	-0,058835745	-0,0053129606	-0,005335521	-0,0050291605
41829	32,397461	-19,370848	-19,510811	-0,064443052	-0,0060895178	-0,006177118	-0,0057855248
41829	32,897461	-21,320848	-21,400793	-0,070759654	-0,0067845397	-0,0069567082	-0,0064780638
41829	33,397461	-23,270847	-23,413609	-0,0777632	-0,0075306799	-0,0078233061	-0,0072140321
41829	33,897461	-25,220848	-25,30245	-0,083932281	-0,0083130412	-0,0088258721	-0,0078321919
41829	34,397461	-27,170849	-27,219629	-0,089587271	-0,0090508331	-0,0095695499	-0,0085656159
41829	34,897461	-29,120848	-29,359364	-0,095306337	-0,0098703597	-0,010497724	-0,0094134919
41829	35,397461	-31,070848	-31,246342	-0,10191649	-0,010573098	-0,01125451	-0,010080114
41829	35,897461	-33,020847	-33,218586	-0,10686666	-0,011359967	-0,012103016	-0,010815199
41829	36,397461	-34,970848	-35,033752	-0,11253804	-0,012036506	-0,01278199	-0,011416584
41829	36,897461	-36,920849	-37,032745	-0,1180321	-0,012808207	-0,013788176	-0,01217813
41829	37,397461	-38,87085	-38,924049	-0,12392402	-0,013645999	-0,01451892	-0,012950357
41829	37,897461	-40,82085	-40,917046	-0,12940466	-0,014436241	-0,015418836	-0,013708303
41829	38,397461	-42,770847	-42,991917	-0,13470948	-0,015236378	-0,016236823	-0,014449084
41829	38,897461	-44,720848	-44,861073	-0,13945401	-0,015986547	-0,017103454	-0,015103741
41829	39,397461	-46,670849	-46,773819	-0,14553219	-0,016697757	-0,017924145	-0,015859604
41829	39,897461	-48,62085	-48,755196	-0,15038401	-0,017467529	-0,018724121	-0,016650198
41829	40,397461	-50,57085	-50,697865	-0,15580952	-0,018184677	-0,019627871	-0,017407442
41829	40,897461	-52,520847	-52,62793	-0,1610145	-0,019079346	-0,020487858	-0,018134756
41829	41,397461	-54,470848	-54,477615	-0,16546398	-0,019801825	-0,021299532	-0,018846201
41829	41,897461	-56,420849	-56,408443	-0,17081052	-0,020521376	-0,022051405	-0,019497793
41829	42,397461	-58,37085	-58,499054	-0,17620027	-0,021402285	-0,023079799	-0,020399295
41829	42,897461	-60,32085	-60,348473	-0,18074214	-0,022201799	-0,0239498	-0,021127202
41829	43,397461	-62,270847	-62,460892	-0,18671304	-0,022999406	-0,024820115	-0,021910412
41829	43,897461	-64,220848	-64,243423	-0,19124448	-0,023623876	-0,025567248	-0,022539476
41829	44,397461	-66,170853	-66,411545	-0,196293	-0,024463557	-0,026438715	-0,023317982
41829	44,897461	-68,12085	-68,311783	-0,20157397	-0,025308631	-0,027337475	-0,024137519
41829	45,397461	-70,070847	-70,218239	-0,20646751	-0,026056457	-0,028279303	-0,024845671
41829	45,897461	-72,020851	-72,174797	-0,21034628	-0,026803285	-0,029012624	-0,025583349
41829	46,397461	-73,970848	-74,045601	-0,21540523	-0,027588513	-0,029840708	-0,026186302
41829	46,897461	-75,920853	-75,962029	-0,22098869	-0,028371714	-0,030839352	-0,027003003
41829	47,397461	-77,87085	-77,913155	-0,22532642	-0,029137392	-0,031568881	-0,027788984
41829	47,897461	-79,820847	-80,004295	-0,22978634	-0,029949058	-0,032564841	-0,028573114
41829	48,397461	-80,900444	-81,140266	-0,2335608	-0,030414689	-0,033044655	-0,029009204
41829	48,897461	-78,950439	-79,050758	-0,22954345	-0,029705189	-0,032168113	-0,028365225
41829	49,397461	-77,000443	-77,10006	-0,22594333	-0,029031083	-0,031336024	-0,02766276
41829	49,897461	-75,050438	-75,128616	-0,2214238	-0,028242692	-0,03059423	-0,02693459
41829	50,397461	-73,100441	-73,127525	-0,21775961	-0,027575329	-0,029731162	-0,026198294
41829	50,897461	-71,150444	-71,164635	-0,2130121	-0,02688108	-0,028939439	-0,025480658
41829	51,397461	-69,200439	-69,167992	-0,20836741	-0,026122417	-0,028036041	-0,024688231
41829	51,897461	-67,250443	-67,262131	-0,2046451	-0,025400594	-0,027292442	-0,024112584
41829	52,397461	-65,300438	-65,366158	-0,20023435	-0,024759527	-0,02650802	-0,023352789
